OBJECTID,STREET_DIR,L_LADD,L_LSRC,L_HADD,L_HSRC,R_LADD,R_LSRC,R_HADD,R_HSRC,L_POSTAL,R_POSTAL,STREET_CLA,ONEWAY,ONEWAY_DIR,DATA_ADD1,DATE_EDIT,COMMENTS,WIDTH,GGM_ID,STATUS,CHECK_,SECT_NO,SECT_OLD,ROAD_NAME_ID,SEGMENT_ID,STREET_NAME,STREET_TYPE,STREET_DIR_PREFIX,STREET_TYPE_PREFIX,ALIAS_ST_D,JURISDICTION,FULL_STREET_NAME,ROUTE,L_MUNC_ID,R_MUNC_ID,L_MUNC_FULL,R_MUNC_FULL,END_DATE,ENG_CLASS,SPEED_LIMIT,HEIGHT_LIMIT,PLAN_CLASS,WEIGHT_LIMIT,PLOW_PR,ENTRY_UID,ENTRY_WHEN,GISID,DATA_ADD,TOP_ALIAS,GLOBALID,PARENTID,NUM_PASSES,WINTER_ZON,ResurfacingStage,SHAPESTLength
3606,, ,K, ,K,2401,K,2415,K, , ,U,,,19960409,19970708, ,0,7064, ,3,3085,04580,826,4786,ONTARIO,ST,,,,M,ONTARIO ST,ONTARIO ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,1,RDEAN,2017/11/28 13:16:06+00,3085,1970/01/01 00:00:00+00,,{61B9EAFF-A85C-49C6-9DB8-F46E2C2EB07E},,2,R3,,65.0617515579711
3607,,2,I,58,K,1,I,59,K, , ,U,,,19960409,20010223, ,0,7063, ,3,3086,00950,141,4787,BRONTE,RD,,,,M,BRONTE RD,BRONTE RD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,3,50,,,,1,RDEAN,2017/11/28 13:16:07+00,3086,1970/01/01 00:00:00+00,25 REGIONAL  RD,{2052752F-3713-4144-8C13-B68CA7904A6E},,2,R3,,163.886540477464
3608,,2400,K,2438,K,2399,K,2439,K, , ,4,,,19960409,20010619, ,0,7066, ,3,3087,00890,710,4784,MARINE,DR,,,,M,MARINE DR,MARINE DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,O,,2,RDEAN,2017/11/28 13:00:35+00,3087,1970/01/01 00:00:00+00,,{1AB25988-DC8A-4BC0-AA98-BA7825772BB8},,1,Z2,,151.924526657978
3609,,60,K,98,K,61,K,99,K, , ,4,,,19960409, , ,0,7070, ,3,3088,04590,580,4770,JONES,ST,,,,M,JONES ST,JONES ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,O,,2,RDEAN,2017/11/28 13:00:35+00,3088,1970/01/01 00:00:00+00,,{4EB3558B-D7C8-4863-8C3C-3E4D13818C42},,1,Z2,,140.137205409068
3610,,2,K,58,K,1,K,59,K, , ,4,,,19960409,20010223, ,0,7068, ,3,3089,04590,580,4779,JONES,ST,,,,M,JONES ST,JONES ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 13:00:36+00,3089,1970/01/01 00:00:00+00,,{5EC5C4FD-42CD-4F45-ADE0-15214F296771},,1,Z2,,138.506580018001
3611,,2350,K,2398,K,2351,K,2397,K, , ,4,,,19960409,20010619, ,0,7071, ,3,3090,00900,710,4769,MARINE,DR,,,,M,MARINE DR,MARINE DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,O,,2,RDEAN,2017/11/28 13:00:37+00,3090,1970/01/01 00:00:00+00,,{EA584C41-9EB4-45F0-BF8A-436A28C696E4},,1,Z2,,221.905146010441
3612,,2280,K,2338,K,2281,K,2339,K, , ,U,,,19960409, , ,0,7086, ,3,3091,04640,1091,4731,SOVEREIGN,ST,,,,M,SOVEREIGN ST,SOVEREIGN ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 13:16:07+00,3091,1970/01/01 00:00:00+00,,{C7375AFE-AD2C-4A0C-8F1D-23DE3177F83C},,1,Z2,,219.943876710825
3613,,136,K,138,K,137,K,139,K, , ,U,,,19960409,20010223, ,0,6086, ,3,3092,04630,319,4712,EAST,ST,,,,M,EAST ST,EAST ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,OAKVILLE\rmedaric,2020/02/27 11:01:25+00,3092,1970/01/01 00:00:00+00,,{D2D0E011-7AD3-480B-B097-C46996ACCA9B},,1,Z2,,27.5929209224256
3614,, ,K, ,K,141,K,141,K, , ,U,,,19960409, , ,0,7090, ,3,3093,04630,319,4709,EAST,ST,,,,M,EAST ST,EAST ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 13:00:37+00,3093,1970/01/01 00:00:00+00,,{A8F5C0CA-9FDF-49F4-8958-9401B96AC60A},,1,Z2,,141.88648822844
3616,,176,K,198,K,177,K,199,K, , ,4,,,19960409, , ,0,6394, ,3,3095,01020,580,4746,JONES,ST,,,,M,JONES ST,JONES ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,O,,2,RDEAN,2017/11/28 12:27:12+00,3095,1970/01/01 00:00:00+00,,{1FBDAAC0-7CC2-4C0C-9F5A-4691DBE6345E},,1,Z2,,139.592689010103
